experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Auditory_Alterations_mean,Auditory_Alterations_std,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Vigilance_Reduction_mean,Vigilance_Reduction_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
71,8,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,215,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",1.36,0.55,3.68,4.53,10.48,9.00,17.09,15.93,10.83,13.61
72,8,0,150,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,315,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",9.13,14.83,18.68,24.18,46.42,24.42,22.52,12.63,38.14,24.30
73,8,0,300,NULL,healthy,5D-ASC(3D-OAV+2D),14615876,10.1007/s00213-003-1640-6,"Hasler F","2004 Mar","Hasler, F., Grimberg, U., Benz, M.A., Huber, T. & Vollenweider, F.X. (2004) Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose-effect study. Psychopharmacology, 2, 145-56.","RATIONALE: Serotonin (5-Hydroxytryptamine, 5-HT) receptors play an important role
in perception, affect regulation and attention. Pharmacological challenge with
the 5-HT(2A) agonist psilocybin (PY) is useful in studying the neurobiological
basis of cognition and consciousness.
OBJECTIVE: Investigation of dose-dependent effects of PY on psycho(patho)logical 
and physiological parameters.
METHODS: Eight subjects received placebo (PL), and 45 (""very low dose, VLD""), 115
(""low dose, LD""), 215 (""medium dose, MD""), and 315 (""high dose, HD"") microg/kg
body weight PY. The ""Altered States of Consciousness Rating Scale"" (5D-ASC), the 
""Frankfurt Attention Inventory"" (FAIR), and the ""Adjective Mood Rating Scale""
(AMRS) were used to assess the effects of PY on psycho(patho)logical core
dimensions, attention, and mood. A 24-h electrocardiogram (EKG) was recorded and 
blood pressure was measured. Plasma concentrations of thyroid-stimulating hormone
(TSH), prolactin (PRL), cortisol (CORT), adrenocorticotropic hormone (ACTH), and 
standard clinical chemical parameters were determined.
RESULTS: PY dose dependently increased scores of all 5D-ASC core dimensions. Only
one subject reacted with transient anxiety to HD PY. Compared with PL, MD and HD 
PY led to a 50% reduction of performance in the FAIR test. ""General
inactivation"", ""emotional excitability"", and ""dreaminess"" were the only domains
of the AMRS showing increased scores following MD and HD PY. The mean arterial
blood pressure (MAP) was moderately elevated only 60 min following administration
of HD PY. Neither EKG nor body temperature was affected by any dose of PY. TSH,
ACTH, and CORT plasma levels were elevated during peak effects of HD PY, whereas 
PRL plasma levels were increased following MD and HD PY.
CONCLUSION: PY affects core dimensions of altered states of consciousness and
physiological parameters in a dose-dependent manner. Our study provided no cause 
for concern that PY is hazardous with respect to somatic health.",NULL,315,"µg/kg body weight","PY (psilocybin) capsules (1 mg and 5 mg) were prepared at the Pharmacy of the Cantonal Hospital of Aarau, Switzerland. PY (psilocybin) and lactose placebo were administered in gelatin capsules of identical appearance. PY dosages were as follows: very low dose (VLD) = 45 µg/kg body weight; low dose (LD) = 115 µg/kg, medium dose (MD) = 215 µg/kg; and high dose (HD) = 315 µg/kg. Our own investigations recealed that identical doses of PY relative to body weight cause comparable plasma concentration-time profiles of PI (psilocin). We therefore preferred to administer doses relative to body weight rather than absolute amounts of PY. To monimize confounding effects of circadian rythms on hormone levels, drug dosing took place at approximately the same time. In all female volunteers, the experiments were performed during the early follicular phase of their menstrual cycles. ",Psilocybin,"capsule (oral)",2.91,4.94,4.61,6.14,24.86,24.90,14.18,10.98,25.99,24.50
75,8,0,NULL,NULL,healthy,5D-ASC(3D-OAV+2D),15560968,10.1016/j.schres.2004.04.009,"Northoff G","2005 Jan 1","Northoff, G., Richter, A., Bermpohl, F., Grimm, S., Martin, E., Marcar, V.L., Wahl, C., Hell, D. & Boeker, H. (2005) NMDA hypofunction in the posterior cingulate as a model for schizophrenia: an exploratory ketamine administration study in fMRI. Schizophrenia research, 2-3, 235-48.","BACKGROUND: Based on animal data, NMDA receptor hypofunction has been suggested
as a model for positive symptoms in schizophrenia. NMDA receptor hypofunction
affects several corticolimbic brain regions, of which the posterior cingulate
seems to be the most sensitive. However, empirical support for a crucial role of 
posterior cingulate NMDA hypofunction in the pathophysiology of positive symptoms
is still missing in humans. We therefore conducted an fMRI study using the NMDA
antagonist ketamine in healthy human subjects during episodic memory retrieval,
which is supposed to activate the posterior cingulate.
METHODS: We investigated 16 healthy subjects which were assigned to either
placebo (n = 7; saline) or ketamine (n = 9; 0.6 mg/kg/h) group in a double-blind 
study design. All subjects received their infusion while performing an episodic
memory retrieval task in the scanner. Immediately after the fMRI session,
psychopathological effects of ketamine were measured using the Altered States of 
Consciousness Questionnaire.
RESULTS: The placebo group showed BOLD signal increases in the posterior and
anterior cingulate during retrieval. Signal increases were significantly lower in
the ketamine group. Lower signal increases in the posterior cingulate correlated 
significantly with positive (i.e. psychosis-like) symptoms induced by ketamine.
CONCLUSION: The present study for the first time demonstrates a relationship
between NMDA receptors, posterior cingulate and positive (i.e. psychosis-like)
symptoms in humans. Confirming findings from animal studies, it supports the
hypothesis of a pathophysiological role of NMDA receptor hypofunction in the
posterior cingulate in schizophrenia.",NULL,0.6,mg/kg/h,"Infusion over 90 mins; Task began after 20 mins; ""The ketamine group received a ketamine infusion (0.6 mg/kg/h) during anatomical and functional image acquisition (90 min).""; ""The placebo group received saline (0.9% NaCl) over the same period of time.""",Ketamine,i.v.,7.22,28.10,27.87,68.03,25.92,64.72,42.92,61.31,16.55,57.90
77,12,0,110,NULL,healthy,5D-ASC(3D-OAV+2D),15688092,10.1038/sj.npp.1300621,"Carter OL","2005 Jun","Carter, O.L., Pettigrew, J.D., Hasler, F., Wallis, G.M., Liu, G.B., Hell, D. & Vollenweider, F.X. (2005) Modulating the rate and rhythmicity of perceptual rivalry alternations with the mixed 5-HT2A and 5-HT1A agonist psilocybin. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 6, 1154-62.","Binocular rivalry occurs when different images are presented simultaneously to
corresponding points within the left and right eyes. Under these conditions, the 
observer's perception will alternate between the two perceptual alternatives.
Motivated by the reported link between the rate of perceptual alternations,
symptoms of psychosis and an incidental observation that the rhythmicity of
perceptual alternations during binocular rivalry was greatly increased 10 h after
the consumption of LSD, this study aimed to investigate the pharmacology
underlying binocular rivalry and to explore the connection between the timing of 
perceptual switching and psychosis. Psilocybin
(4-phosphoryloxy-N,N-dimethyltryptamine, PY) was chosen for the study because,
like LSD, it is known to act as an agonist at serotonin (5-HT)1A and 5-HT2A
receptors and to produce an altered state sometimes marked by psychosis-like
symptoms. A total of 12 healthy human volunteers were tested under placebo,
low-dose (115 microg/kg) and high-dose (250 microg/kg) PY conditions. In line
with predictions, under both low- and high-dose conditions, the results show that
at 90 min postadministration (the peak of drug action), rate and rhythmicity of
perceptual alternations were significantly reduced from placebo levels. Following
the 90 min testing period, the perceptual switch rate successively increased,
with some individuals showing increases well beyond pretest levels at the final
testing, 360 min postadministration. However, as some subjects had still not
returned to pretest levels by this time, the mean phase duration at 360 min was
not found to differ significantly from placebo. Reflecting the drug-induced
changes in rivalry phase durations, subjects showed clear changes in
psychological state as indexed by the 5D-ASC (altered states of consciousness)
rating scales. This study suggests the involvement of serotonergic pathways in
binocular rivalry and supports the previously proposed role of a brainstem
oscillator in perceptual rivalry alternations and symptoms of psychosis.",NULL,115,"µg/kg body weight","PY (psilocybin) capsules (1 and 5 mg) were prepared at the pharmacy of the Cantonal Hopsital of Aarau, Switzerland... The PY and lactose placebo were prepared in gelatin capsules of identical appearance. Based on previous PY studies in human volunteers, the medium (115 µg/kg) and high dose (250 µg/kg) of PY used in the present study were expected to induce changes in the subject's visual perception without seriously affecting their thought patterns or erroding their self-nonself boundaries... On each of three days subjects received placebo, a low and a high dose of PY respectively, with the order of administration counterbalanced.",Psilocybin,"capsule (oral)",3.88,6.86,6.17,7.02,11.46,9.06,14.68,12.18,16.01,15.65
78,12,0,110,NULL,healthy,5D-ASC(3D-OAV+2D),15688092,10.1038/sj.npp.1300621,"Carter OL","2005 Jun","Carter, O.L., Pettigrew, J.D., Hasler, F., Wallis, G.M., Liu, G.B., Hell, D. & Vollenweider, F.X. (2005) Modulating the rate and rhythmicity of perceptual rivalry alternations with the mixed 5-HT2A and 5-HT1A agonist psilocybin. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 6, 1154-62.","Binocular rivalry occurs when different images are presented simultaneously to
corresponding points within the left and right eyes. Under these conditions, the 
observer's perception will alternate between the two perceptual alternatives.
Motivated by the reported link between the rate of perceptual alternations,
symptoms of psychosis and an incidental observation that the rhythmicity of
perceptual alternations during binocular rivalry was greatly increased 10 h after
the consumption of LSD, this study aimed to investigate the pharmacology
underlying binocular rivalry and to explore the connection between the timing of 
perceptual switching and psychosis. Psilocybin
(4-phosphoryloxy-N,N-dimethyltryptamine, PY) was chosen for the study because,
like LSD, it is known to act as an agonist at serotonin (5-HT)1A and 5-HT2A
receptors and to produce an altered state sometimes marked by psychosis-like
symptoms. A total of 12 healthy human volunteers were tested under placebo,
low-dose (115 microg/kg) and high-dose (250 microg/kg) PY conditions. In line
with predictions, under both low- and high-dose conditions, the results show that
at 90 min postadministration (the peak of drug action), rate and rhythmicity of
perceptual alternations were significantly reduced from placebo levels. Following
the 90 min testing period, the perceptual switch rate successively increased,
with some individuals showing increases well beyond pretest levels at the final
testing, 360 min postadministration. However, as some subjects had still not
returned to pretest levels by this time, the mean phase duration at 360 min was
not found to differ significantly from placebo. Reflecting the drug-induced
changes in rivalry phase durations, subjects showed clear changes in
psychological state as indexed by the 5D-ASC (altered states of consciousness)
rating scales. This study suggests the involvement of serotonergic pathways in
binocular rivalry and supports the previously proposed role of a brainstem
oscillator in perceptual rivalry alternations and symptoms of psychosis.",NULL,250,"µg/kg body weight","PY (psilocybin) capsules (1 and 5 mg) were prepared at the pharmacy of the Cantonal Hopsital of Aarau, Switzerland... The PY and lactose placebo were prepared in gelatin capsules of identical appearance. Based on previous PY studies in human volunteers, the medium (115 µg/kg) and high dose (250 µg/kg) of PY used in the present study were expected to induce changes in the subject's visual perception without seriously affecting their thought patterns or erroding their self-nonself boundaries... On each of three days subjects received placebo, a low and a high dose of PY respectively, with the order of administration counterbalanced.",Psilocybin,"capsule (oral)",15.65,26.43,20.97,23.85,31.67,17.66,25.18,30.62,40.68,23.18
80,42,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),15982991,10.1177/0269881105053287,"Vollenweider FX","2005 Jul","Vollenweider, F.X., Liechti, M.E. & Paulus, M.P. (2005) MDMA affects both error-rate dependent and independent aspects of decision-making in a two-choice prediction task. Journal of psychopharmacology (Oxford, England), 4, 366-74.","Decision-making, i.e. selecting an action from a number of alternatives when the 
outcome is uncertain, is a complex process that is important for everyday life.
3,4-Methylenedioxymethamphetamine (MDMA), also known as 'Ecstasy', is a widely
used recreational drug that is known to increase serotonin (5-HT) and, to a
lesser extent, dopamine (DA) in animals. This study examined whether MDMA alters 
decision-making in a way that depends on the degree of success and
outcome.Forty-two normal, healthy volunteers were given placebo or 1.5mg/kg p.o. 
MDMA in a randomized crossover design. Subjects completed the two-choice
prediction task 120min after administration of the drug. Decision-making
characteristics were obtained at 20% error rate, 50% error rate or 80% error
rate.MDMA affected decision-making via a process that is dependent on success or 
failure. Administration of MDMA increased the degree to which the previous
response predicted the current response (mutual information) and the average
response sequence predictability (average dynamical entropy) at low error rates. 
MDMA increased the degree to which the previous stimulus influenced the selection
of the current response at 20%, 50% or 80% error rate. MDMA did not significantly
alter basic response characteristics such as response latency or switching.
Self-assessment of the psychological state induced by MDMA did not predict the
MDMA induced decision-making patterns. These results support the hypothesis that 
acute administration of MDMA affects success-related response selection during
decision-making.",NULL,1.5,"mg/kg body weight","""Subjects received MDMA at a moderate dose of 1.5 mg/kg PO.""",MDMA,"capsule (oral)",NULL,NULL,NULL,NULL,23.20,3.11,NULL,NULL,NULL,NULL
82,42,0,120,NULL,healthy,5D-ASC(3D-OAV+2D),15982991,10.1177/0269881105053291,"Vollenweider FX","2005 Jul","Vollenweider, F.X., Liechti, M.E. & Paulus, M.P. (2005) MDMA affects both error-rate dependent and independent aspects of decision-making in a two-choice prediction task. Journal of psychopharmacology (Oxford, England), 4, 366-74.","Decision-making, i.e. selecting an action from a number of alternatives when the 
outcome is uncertain, is a complex process that is important for everyday life.
3,4-Methylenedioxymethamphetamine (MDMA), also known as 'Ecstasy', is a widely
used recreational drug that is known to increase serotonin (5-HT) and, to a
lesser extent, dopamine (DA) in animals. This study examined whether MDMA alters 
decision-making in a way that depends on the degree of success and
outcome.Forty-two normal, healthy volunteers were given placebo or 1.5mg/kg p.o. 
MDMA in a randomized crossover design. Subjects completed the two-choice
prediction task 120min after administration of the drug. Decision-making
characteristics were obtained at 20% error rate, 50% error rate or 80% error
rate.MDMA affected decision-making via a process that is dependent on success or 
failure. Administration of MDMA increased the degree to which the previous
response predicted the current response (mutual information) and the average
response sequence predictability (average dynamical entropy) at low error rates. 
MDMA increased the degree to which the previous stimulus influenced the selection
of the current response at 20%, 50% or 80% error rate. MDMA did not significantly
alter basic response characteristics such as response latency or switching.
Self-assessment of the psychological state induced by MDMA did not predict the
MDMA induced decision-making patterns. These results support the hypothesis that 
acute administration of MDMA affects success-related response selection during
decision-making.",NULL,1.5,"mg/kg body weight","""Subjects received MDMA at a moderate dose of 1.5 mg/kg PO.""",MDMA,"capsule (oral)",NULL,NULL,10.78,1.96,NULL,NULL,NULL,NULL,8.95,2.16
84,8,0,180,NULL,healthy,5D-ASC(3D-OAV+2D),16269092,10.1162/089892905774597191,"Carter OL","2005 Oct","Carter, O.L., Burr, D.C., Pettigrew, J.D., Wallis, G.M., Hasler, F. & Vollenweider, F.X. (2005) Using psilocybin to investigate the relationship between attention, working memory, and the serotonin 1A and 2A receptors. Journal of cognitive neuroscience, 10, 1497-508.","Increasing evidence suggests a link between attention, working memory, serotonin 
(5-HT), and prefrontal cortex activity. In an attempt to tease out the
relationship between these elements, this study tested the effects of the
hallucinogenic mixed 5-HT1A/2A receptor agonist psilocybin alone and after
pretreatment with the 5-HT2A antagonist ketanserin. Eight healthy human
volunteers were tested on a multiple-object tracking task and spatial working
memory task under the four conditions: placebo, psilocybin (215 microg/kg),
ketanserin (50 mg), and psilocybin and ketanserin. Psilocybin significantly
reduced attentional tracking ability, but had no significant effect on spatial
working memory, suggesting a functional dissociation between the two tasks.
Pretreatment with ketanserin did not attenuate the effect of psilocybin on
attentional performance, suggesting a primary involvement of the 5-HT1A receptor 
in the observed deficit. Based on physiological and pharmacological data, we
speculate that this impaired attentional performance may reflect a reduced
ability to suppress or ignore distracting stimuli rather than reduced attentional
capacity. The clinical relevance of these results is also discussed.",NULL,215,"µg/kg body weight","Capsules of psilocybin (1 and 5 mg) and ketanserin (50 mg) were prepared at the pharmacy ofthe Cantonal Hospital of Aarau, Switzerland, and quality was controlled through tests for identity, purity, and uniformity of content. The psilocybin dose (215 µg/kg), ketanserin (50 mg), and lactose placebo were administered in gelatin capsules of identical appearance. The doses of psilocybin and ketanserin used in the present study were chosen because they had previously been shown to induce and block the associated changes in conscious state, respectively. In order to ensure occupancy of the 5-HT2A receptor, ketanserin was administered 90 min prior to psilocybin.",Psilocybin,"capsule (oral)",10.98,12.53,21.14,21.52,39.98,26.97,29.02,28.88,49.96,19.07
85,8,1,180,NULL,healthy,5D-ASC(3D-OAV+2D),16269092,10.1162/089892905774597191,"Carter OL","2005 Oct","Carter, O.L., Burr, D.C., Pettigrew, J.D., Wallis, G.M., Hasler, F. & Vollenweider, F.X. (2005) Using psilocybin to investigate the relationship between attention, working memory, and the serotonin 1A and 2A receptors. Journal of cognitive neuroscience, 10, 1497-508.","Increasing evidence suggests a link between attention, working memory, serotonin 
(5-HT), and prefrontal cortex activity. In an attempt to tease out the
relationship between these elements, this study tested the effects of the
hallucinogenic mixed 5-HT1A/2A receptor agonist psilocybin alone and after
pretreatment with the 5-HT2A antagonist ketanserin. Eight healthy human
volunteers were tested on a multiple-object tracking task and spatial working
memory task under the four conditions: placebo, psilocybin (215 microg/kg),
ketanserin (50 mg), and psilocybin and ketanserin. Psilocybin significantly
reduced attentional tracking ability, but had no significant effect on spatial
working memory, suggesting a functional dissociation between the two tasks.
Pretreatment with ketanserin did not attenuate the effect of psilocybin on
attentional performance, suggesting a primary involvement of the 5-HT1A receptor 
in the observed deficit. Based on physiological and pharmacological data, we
speculate that this impaired attentional performance may reflect a reduced
ability to suppress or ignore distracting stimuli rather than reduced attentional
capacity. The clinical relevance of these results is also discussed.",NULL,"50 + 215","µg/kg body weight + mg","Capsules of psilocybin (1 and 5 mg) and ketanserin (50 mg) were prepared at the pharmacy ofthe Cantonal Hospital of Aarau, Switzerland, and quality was controlled through tests for identity, purity, and uniformity of content. The psilocybin dose (215 µg/kg), ketanserin (50 mg), and lactose placebo were administered in gelatin capsules of identical appearance. The doses of psilocybin and ketanserin used in the present study were chosen because they had previously been shown to induce and block the associated changes in conscious state, respectively. In order to ensure occupancy of the 5-HT2A receptor, ketanserin was administered 90 min prior to psilocybin. + Capsules of psilocybin (1 and 5 mg) and ketanserin (50 mg) were prepared at the pharmacy ofthe Cantonal Hospital of Aarau, Switzerland, and quality was controlled through tests for identity, purity, and uniformity of content. The psilocybin dose (215 µg/kg), ketanserin (50 mg), and lactose placebo were administered in gelatin capsules of identical appear","Ketanserin + Psilocybin","capsule (oral) + capsule (oral)",2.90,4.64,5.73,9.27,2.91,4.64,52.33,14.17,13.47,10.90
86,8,1,180,NULL,healthy,5D-ASC(3D-OAV+2D),16269092,10.1162/089892905774597191,"Carter OL","2005 Oct","Carter, O.L., Burr, D.C., Pettigrew, J.D., Wallis, G.M., Hasler, F. & Vollenweider, F.X. (2005) Using psilocybin to investigate the relationship between attention, working memory, and the serotonin 1A and 2A receptors. Journal of cognitive neuroscience, 10, 1497-508.","Increasing evidence suggests a link between attention, working memory, serotonin 
(5-HT), and prefrontal cortex activity. In an attempt to tease out the
relationship between these elements, this study tested the effects of the
hallucinogenic mixed 5-HT1A/2A receptor agonist psilocybin alone and after
pretreatment with the 5-HT2A antagonist ketanserin. Eight healthy human
volunteers were tested on a multiple-object tracking task and spatial working
memory task under the four conditions: placebo, psilocybin (215 microg/kg),
ketanserin (50 mg), and psilocybin and ketanserin. Psilocybin significantly
reduced attentional tracking ability, but had no significant effect on spatial
working memory, suggesting a functional dissociation between the two tasks.
Pretreatment with ketanserin did not attenuate the effect of psilocybin on
attentional performance, suggesting a primary involvement of the 5-HT1A receptor 
in the observed deficit. Based on physiological and pharmacological data, we
speculate that this impaired attentional performance may reflect a reduced
ability to suppress or ignore distracting stimuli rather than reduced attentional
capacity. The clinical relevance of these results is also discussed.",NULL,50,mg,"Capsules of psilocybin (1 and 5 mg) and ketanserin (50 mg) were prepared at the pharmacy ofthe Cantonal Hospital of Aarau, Switzerland, and quality was controlled through tests for identity, purity, and uniformity of content. The psilocybin dose (215 µg/kg), ketanserin (50 mg), and lactose placebo were administered in gelatin capsules of identical appearance. The doses of psilocybin and ketanserin used in the present study were chosen because they had previously been shown to induce and block the associated changes in conscious state, respectively. In order to ensure occupancy of the 5-HT2A receptor, ketanserin was administered 90 min prior to psilocybin.",Ketanserin,"capsule (oral)",0.02,1.35,0.15,1.37,0.00,0.90,11.41,9.26,0.00,1.33
87,9,0,"at least two hours after termination of the second dose",NULL,healthy,5D-ASC(3D-OAV+2D),16342002,10.1055/s-2005-916185,"Gouzoulis-Mayfrank E","2005 Nov","Gouzoulis-Mayfrank, E., Heekeren, K., Neukirch, A., Stoll, M., Stock, C., Obradovic, M. & Kovar, K.A. (2005) Psychological effects of (S)-ketamine and N,N-dimethyltryptamine (DMT): a double-blind, cross-over study in healthy volunteers. Pharmacopsychiatry, 6, 301-11.","INTRODUCTION: Pharmacological challenges with hallucinogens are used as models
for psychosis in experimental research. The state induced by glutamate
antagonists such as phencyclidine (PCP) is often considered as a more appropriate
model of psychosis than the state induced by serotonergic hallucinogens such as
lysergic acid diethylamide (LSD), psilocybin and N,N-dimethyltryptamine (DMT).
However, so far, the psychological profiles of the two types of hallucinogenic
drugs have never been studied directly in an experimental within-subject design.
METHODS: Fifteen healthy volunteers were included in a double-blind, cross-over
study with two doses of the serotonin 5-HT2A agonist DMT and the glutamate
N-methyl-D-aspartate (NMDA) antagonist (S)-ketamine.
RESULTS: Data are reported for nine subjects who completed both experimental days
with both doses of the two drugs. The intensity of global psychological effects
was similar for DMT and (S)-ketamine. However, phenomena resembling positive
symptoms of schizophrenia, particularly positive formal thought disorder and
inappropriate affect, were stronger after DMT. Phenomena resembling negative
symptoms of schizophrenia, attention deficits, body perception disturbances and
catatonia-like motor phenomena were stronger after (S)-ketamine.
DISCUSSION: The present study suggests that the NMDA antagonist model of
psychosis is not overall superior to the serotonin 5-HT2A agonist model. Rather, 
the two classes of drugs tend to model different aspects or types of
schizophrenia. The NMDA antagonist state may be an appropriate model for
psychoses with prominent negative and possibly also catatonic features, while the
5-HT2A agonist state may be a better model for psychoses of the paranoid type.",NULL,NULL,NULL,"a bolus injection of 0.15 or 0.2 mg/kg over 5 min followed by a break of one minute followed by continuous infusion with 0.01125 or 0.015 mg/kg*min over 84 minutes",DMT,i.v.,NULL,NULL,8.78,20.76,22.14,53.37,NULL,NULL,31.27,63.24
