experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Affect_mean,Affect_std,Cognition_mean,Cognition_std,Intensity_mean,Intensity_std,Perception_mean,Perception_std,Somaesthesia_mean,Somaesthesia_std,Volition_mean,Volition_std
59,18,0,240,NULL,NULL,HRS,12660312,10.1124/jpet.103.049882,"Riba J","2003 Jul","Riba, J., Valle, M., Urbano, G., Yritia, M., Morte, A. & Barbanoj, M.J. (2003) Human pharmacology of ayahuasca: subjective and cardiovascular effects, monoamine metabolite excretion, and pharmacokinetics. The Journal of pharmacology and experimental therapeutics, 1, 73-83.","The effects of the South American psychotropic beverage ayahuasca on subjective
and cardiovascular variables and urine monoamine metabolite excretion were
evaluated, together with the drug's pharmacokinetic profile, in a double-blind
placebo-controlled clinical trial. This pharmacologically complex tea, commonly
obtained from Banisteriopsis caapi and Psychotria viridis, combines
N,N-dimethyltryptamine (DMT), an orally labile psychedelic agent showing
5-hydroxytryptamine2A agonist activity, with monoamine oxidase (MAO)-inhibiting
beta-carboline alkaloids (harmine, harmaline, and tetrahydroharmine). Eighteen
volunteers with prior experience in the use of psychedelics received single oral 
doses of encapsulated freeze-dried ayahuasca (0.6 and 0.85 mg of DMT/kg of body
weight) and placebo. Ayahuasca produced significant subjective effects, peaking
between 1.5 and 2 h, involving perceptual modifications and increases in ratings 
of positive mood and activation. Diastolic blood pressure showed a significant
increase at the high dose (9 mm Hg at 75 min), whereas systolic blood pressure
and heart rate were moderately and nonsignificantly increased. Cmax values for
DMT after the low and high ayahuasca doses were 12.14 ng/ml and 17.44 ng/ml,
respectively. Tmax (median) was observed at 1.5 h after both doses. The Tmax for 
DMT coincided with the peak of subjective effects. Drug administration increased 
urinary normetanephrine excretion, but, contrary to the typical MAO-inhibitor
effect profile, deaminated monoamine metabolite levels were not decreased. This
and the negligible harmine plasma levels found suggest a predominantly peripheral
(gastrointestinal and liver) site of action for harmine. MAO inhibition at this
level would suffice to prevent first-pass metabolism of DMT and allow its access 
to systemic circulation and the central nervous system.",NULL,0.6,"mg/kg body weight","The calculated individual dose for each volunteer was administered by combining 00 gelatin capsules containing different amounts of freeze-dried
 ayahuasca, i.e., 0.5 g, 0.25 g, or 0.125 g, and placebo capsules containing 0.75 g of lactose. Placebo capsules were added when necessary, so that all volunteers took the same number of capsules on each experimental day. Each volunteer participated in four experimental sessions at least 1 week apart. Volunteers were informed that on each experimental day they would randomly receive a single oral dose of encapsulated freeze-dried ayahuasca (one low and one high dose), a placebo, and a random repetition of one of the three mentioned treatments.","Ayahuasca (DMT)","capsule (oral)",0.67,0.36,0.42,0.43,1.35,0.75,0.57,0.56,0.49,0.46,1.09,0.68
60,18,0,240,NULL,NULL,HRS,12660312,10.1124/jpet.103.049882,"Riba J","2003 Jul","Riba, J., Valle, M., Urbano, G., Yritia, M., Morte, A. & Barbanoj, M.J. (2003) Human pharmacology of ayahuasca: subjective and cardiovascular effects, monoamine metabolite excretion, and pharmacokinetics. The Journal of pharmacology and experimental therapeutics, 1, 73-83.","The effects of the South American psychotropic beverage ayahuasca on subjective
and cardiovascular variables and urine monoamine metabolite excretion were
evaluated, together with the drug's pharmacokinetic profile, in a double-blind
placebo-controlled clinical trial. This pharmacologically complex tea, commonly
obtained from Banisteriopsis caapi and Psychotria viridis, combines
N,N-dimethyltryptamine (DMT), an orally labile psychedelic agent showing
5-hydroxytryptamine2A agonist activity, with monoamine oxidase (MAO)-inhibiting
beta-carboline alkaloids (harmine, harmaline, and tetrahydroharmine). Eighteen
volunteers with prior experience in the use of psychedelics received single oral 
doses of encapsulated freeze-dried ayahuasca (0.6 and 0.85 mg of DMT/kg of body
weight) and placebo. Ayahuasca produced significant subjective effects, peaking
between 1.5 and 2 h, involving perceptual modifications and increases in ratings 
of positive mood and activation. Diastolic blood pressure showed a significant
increase at the high dose (9 mm Hg at 75 min), whereas systolic blood pressure
and heart rate were moderately and nonsignificantly increased. Cmax values for
DMT after the low and high ayahuasca doses were 12.14 ng/ml and 17.44 ng/ml,
respectively. Tmax (median) was observed at 1.5 h after both doses. The Tmax for 
DMT coincided with the peak of subjective effects. Drug administration increased 
urinary normetanephrine excretion, but, contrary to the typical MAO-inhibitor
effect profile, deaminated monoamine metabolite levels were not decreased. This
and the negligible harmine plasma levels found suggest a predominantly peripheral
(gastrointestinal and liver) site of action for harmine. MAO inhibition at this
level would suffice to prevent first-pass metabolism of DMT and allow its access 
to systemic circulation and the central nervous system.",NULL,0.85,"mg/kg body weight","The calculated individual dose for each volunteer was administered by combining 00 gelatin capsules containing different amounts of freeze-dried
 ayahuasca, i.e., 0.5 g, 0.25 g, or 0.125 g, and placebo capsules containing 0.75 g of lactose. Placebo capsules were added when necessary, so that all volunteers took the same number of capsules on each experimental day. Each volunteer participated in four experimental sessions at least 1 week apart. Volunteers were informed that on each experimental day they would randomly receive a single oral dose of encapsulated freeze-dried ayahuasca (one low and one high dose), a placebo, and a random repetition of one of the three mentioned treatments.","Ayahuasca (DMT)","capsule (oral)",1.05,0.36,0.98,0.14,1.89,0.53,1.13,0.64,0.97,0.41,1.34,0.57
91,15,0,240,NULL,NULL,HRS,16575552,10.1007/s00213-006-0358-7,"Riba J","2006 May","Riba, J., Romero, S., Grasa, E., Mena, E., CarriÃ³, I. & Barbanoj, M.J. (2006) Increased frontal and paralimbic activation following ayahuasca, the pan-Amazonian inebriant. Psychopharmacology, 1, 93-8.","RATIONALE: Ayahuasca is a South American psychoactive plant tea which contains
the serotonergic psychedelic N,N-dimethyltryptamine (DMT) and monoamine-oxidase
inhibitors that render DMT orally active. Previous investigations with ayahuasca 
have highlighted a psychotropic effect profile characterized by enhanced
introspective attention, with individuals reporting altered somatic perceptions
and intense emotional modifications, frequently accompanied by visual imagery.
Despite recent advances in the study of ayahuasca pharmacology, the neural
correlates of acute ayahuasca intoxication remain largely unknown.
OBJECTIVES: To investigate the effects of ayahuasca administration on regional
cerebral blood flow.
METHODS: Fifteen male volunteers with prior experience in the use of psychedelics
received a single oral dose of encapsulated freeze-dried ayahuasca equivalent to 
1.0 mg DMT/kg body weight and a placebo in a randomized double-blind clinical
trial. Regional cerebral blood flow was measured 100-110 min after drug
administration by means of single photon emission tomography (SPECT).
RESULTS: Ayahuasca administration led to significant activation of frontal and
paralimbic brain regions. Increased blood perfusion was observed bilaterally in
the anterior insula, with greater intensity in the right hemisphere, and in the
anterior cingulate/frontomedial cortex of the right hemisphere, areas previously 
implicated in somatic awareness, subjective feeling states, and emotional
arousal. Additional increases were observed in the left amygdala/parahippocampal 
gyrus, a structure also involved in emotional arousal.
CONCLUSIONS: The present results suggest that ayahuasca interacts with neural
systems that are central to interoception and emotional processing and point to a
modulatory role of serotonergic neurotransmission in these processes.",NULL,1,"mg * body weight (kg)","An encapsulated freeze-dried formulation of ayahuasca was obtained as described in prevoius studies. The ayahuasca batch employed contained 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline, and 11.36 mg THH per gram of greeze-dried material. The dose administered in the present investigation was of 1 mg DMT/kg body weight, and was chosen based on an earlier work in which it had been proven to elicit ful-blown psychotropic effects. Placebo capsules contained 0.75 g lactose.",DMT,"capsule (oral)",3.13,1.56,3.10,2.33,4.43,2.27,3.32,2.16,3.26,1.78,4.39,2.02
100,30,1,420,NULL,healthy,HRS,16826400,10.1007/s00213-006-0457-5,"Griffiths RR","2006 Aug","Griffiths, R.R., Richards, W.A., McCann, U. & Jesse, R. (2006) Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance. Psychopharmacology, 3, 268-83; discussion 284-92.","RATIONALE: Although psilocybin has been used for centuries for religious
purposes, little is known scientifically about its acute and persisting effects.
OBJECTIVES: This double-blind study evaluated the acute and longer-term
psychological effects of a high dose of psilocybin relative to a comparison
compound administered under comfortable, supportive conditions.
MATERIALS AND METHODS: The participants were hallucinogen-naÃ¯ve adults reporting 
regular participation in religious or spiritual activities. Two or three sessions
were conducted at 2-month intervals. Thirty volunteers received orally
administered psilocybin (30 mg/70 kg) and methylphenidate hydrochloride (40 mg/70
kg) in counterbalanced order. To obscure the study design, six additional
volunteers received methylphenidate in the first two sessions and unblinded
psilocybin in a third session. The 8-h sessions were conducted individually.
Volunteers were encouraged to close their eyes and direct their attention inward.
Study monitors rated volunteers' behavior during sessions. Volunteers completed
questionnaires assessing drug effects and mystical experience immediately after
and 2 months after sessions. Community observers rated changes in the volunteer's
attitudes and behavior.
RESULTS: Psilocybin produced a range of acute perceptual changes, subjective
experiences, and labile moods including anxiety. Psilocybin also increased
measures of mystical experience. At 2 months, the volunteers rated the psilocybin
experience as having substantial personal meaning and spiritual significance and 
attributed to the experience sustained positive changes in attitudes and behavior
consistent with changes rated by community observers.
CONCLUSIONS: When administered under supportive conditions, psilocybin occasioned
experiences similar to spontaneously occurring mystical experiences. The ability 
to occasion such experiences prospectively will allow rigorous scientific
investigations of their causes and consequences.",NULL,40,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Methylphenidate,oral,1.16,0.55,1.03,0.77,1.38,0.77,0.54,0.60,0.91,0.55,1.39,0.33
101,30,0,420,NULL,healthy,HRS,16826400,10.1007/s00213-006-0457-5,"Griffiths RR","2006 Aug","Griffiths, R.R., Richards, W.A., McCann, U. & Jesse, R. (2006) Psilocybin can occasion mystical-type experiences having substantial and sustained personal meaning and spiritual significance. Psychopharmacology, 3, 268-83; discussion 284-92.","RATIONALE: Although psilocybin has been used for centuries for religious
purposes, little is known scientifically about its acute and persisting effects.
OBJECTIVES: This double-blind study evaluated the acute and longer-term
psychological effects of a high dose of psilocybin relative to a comparison
compound administered under comfortable, supportive conditions.
MATERIALS AND METHODS: The participants were hallucinogen-naÃ¯ve adults reporting 
regular participation in religious or spiritual activities. Two or three sessions
were conducted at 2-month intervals. Thirty volunteers received orally
administered psilocybin (30 mg/70 kg) and methylphenidate hydrochloride (40 mg/70
kg) in counterbalanced order. To obscure the study design, six additional
volunteers received methylphenidate in the first two sessions and unblinded
psilocybin in a third session. The 8-h sessions were conducted individually.
Volunteers were encouraged to close their eyes and direct their attention inward.
Study monitors rated volunteers' behavior during sessions. Volunteers completed
questionnaires assessing drug effects and mystical experience immediately after
and 2 months after sessions. Community observers rated changes in the volunteer's
attitudes and behavior.
RESULTS: Psilocybin produced a range of acute perceptual changes, subjective
experiences, and labile moods including anxiety. Psilocybin also increased
measures of mystical experience. At 2 months, the volunteers rated the psilocybin
experience as having substantial personal meaning and spiritual significance and 
attributed to the experience sustained positive changes in attitudes and behavior
consistent with changes rated by community observers.
CONCLUSIONS: When administered under supportive conditions, psilocybin occasioned
experiences similar to spontaneously occurring mystical experiences. The ability 
to occasion such experiences prospectively will allow rigorous scientific
investigations of their causes and consequences.",NULL,30,mg/70kg,"Gelatin capsules with lactose; 
 each capsule was administered with 180 ml water; participants instruced to consume low-fat breakfast prior to the experiment",Psilocybin,oral,2.16,0.55,2.54,0.82,2.79,0.66,2.07,0.77,1.92,0.60,1.77,0.38
105,18,0,70,NULL,NULL,HRS,17115871,10.1037/1064-1297.14.4.439,"Lofwall MR","2006 Nov","Lofwall, M.R., Griffiths, R.R. & Mintzer, M.Z. (2006) Cognitive and subjective acute dose effects of intramuscular ketamine in healthy adults. Experimental and clinical psychopharmacology, 4, 439-49.","Ketamine is a noncompetitive N-methyl-D-aspartate (NMDA) antagonist. Given the
purported role of the NMDA receptor in long-term potentiation, the primary
purpose of the present study was to further understand the dose-related effects
of ketamine on memory. The study was also designed to provide information about
the relative effects of ketamine on memory versus nonmemory effects and to more
fully characterize ketamine's overall pattern and time course of effects. Single 
intramuscular injections of ketamine (0.2 mg/kg, 0.4 mg/kg) were administered to 
18 healthy adult volunteers using a double-blind, placebo-controlled, crossover
design. Word lists were used to evaluate episodic memory (free recall,
recognition memory, source memory) and metamemory. Working memory, time
estimation, psychomotor performance, and subjective effects were assessed
repeatedly for 5 hours after drug administration. Ketamine selectively impaired
encoding (as measured by free recall) while sparing retrieval, working memory
while sparing attention, and digit symbol substitution task speed while sparing
accuracy. Ketamine did not significantly impair recognition or source memory,
metamemory, or time estimation. There were no hallucinations or increases in
mystical experiences with ketamine. Memory measures were less sensitive to
ketamine effects than subjective or psychomotor measures. Subjective effects
lasted longer than memory and most psychomotor impairments. Ketamine produces
selective, transient, dose- and time-related effects. In conjunction with
previous studies of drugs with different mechanisms of actions, the observed
selectivity of effects enhances the understanding of the pharmacological
mechanisms underlying memory, attention, psychomotor performance, and subjective 
experience.",NULL,0.2,"mg * body weight (kg)","Three drug conditions (placebo, ketamine 0.2 mg/kg, and ketamine 0.4mg/kg) were tested across three outpatient exeprimental sessions.. During each session, an intramuscular (IM) injection was administered.. Single 1.0-ml IM injections of racemic ketamine (0.2 and 0.4 mg/kg) and 0.9% saline placebo were administered in the participant's nondominant arm. Ketamine doses were prepared from commerically available ketamine HCl with a base weight of 50 mg/ml and diluted with 0.9% saline for injection to achieve the desired concentration based on weight. ",Ketamine,i.m.,0.50,0.40,0.60,0.60,1.10,0.70,0.50,0.60,0.80,0.60,2.10,0.50
106,18,0,70,NULL,NULL,HRS,17115871,10.1037/1064-1297.14.4.439,"Lofwall MR","2006 Nov","Lofwall, M.R., Griffiths, R.R. & Mintzer, M.Z. (2006) Cognitive and subjective acute dose effects of intramuscular ketamine in healthy adults. Experimental and clinical psychopharmacology, 4, 439-49.","Ketamine is a noncompetitive N-methyl-D-aspartate (NMDA) antagonist. Given the
purported role of the NMDA receptor in long-term potentiation, the primary
purpose of the present study was to further understand the dose-related effects
of ketamine on memory. The study was also designed to provide information about
the relative effects of ketamine on memory versus nonmemory effects and to more
fully characterize ketamine's overall pattern and time course of effects. Single 
intramuscular injections of ketamine (0.2 mg/kg, 0.4 mg/kg) were administered to 
18 healthy adult volunteers using a double-blind, placebo-controlled, crossover
design. Word lists were used to evaluate episodic memory (free recall,
recognition memory, source memory) and metamemory. Working memory, time
estimation, psychomotor performance, and subjective effects were assessed
repeatedly for 5 hours after drug administration. Ketamine selectively impaired
encoding (as measured by free recall) while sparing retrieval, working memory
while sparing attention, and digit symbol substitution task speed while sparing
accuracy. Ketamine did not significantly impair recognition or source memory,
metamemory, or time estimation. There were no hallucinations or increases in
mystical experiences with ketamine. Memory measures were less sensitive to
ketamine effects than subjective or psychomotor measures. Subjective effects
lasted longer than memory and most psychomotor impairments. Ketamine produces
selective, transient, dose- and time-related effects. In conjunction with
previous studies of drugs with different mechanisms of actions, the observed
selectivity of effects enhances the understanding of the pharmacological
mechanisms underlying memory, attention, psychomotor performance, and subjective 
experience.",NULL,0.4,"mg * body weight (kg)","Three drug conditions (placebo, ketamine 0.2 mg/kg, and ketamine 0.4mg/kg) were tested across three outpatient exeprimental sessions.. During each session, an intramuscular (IM) injection was administered.. Single 1.0-ml IM injections of racemic ketamine (0.2 and 0.4 mg/kg) and 0.9% saline placebo were administered in the participant's nondominant arm. Ketamine doses were prepared from commerically available ketamine HCl with a base weight of 50 mg/ml and diluted with 0.9% saline for injection to achieve the desired concentration based on weight. ",Ketamine,i.m.,0.70,0.50,1.20,0.70,1.60,0.80,0.90,0.80,1.60,0.70,2.40,0.50
107,7,0,480,NULL,OCD,HRS,17196053,10.4088/JCP.v67n1110,NULL,NULL,NULL,NULL,NULL,25,µg/kg,NULL,Psilocybin,oral,NULL,NULL,NULL,NULL,1.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,9,0,480,NULL,OCD,HRS,17196053,10.4088/JCP.v67n1110,NULL,NULL,NULL,NULL,NULL,100,µg/kg,NULL,Psilocybin,oral,NULL,NULL,NULL,NULL,1.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,7,0,480,NULL,OCD,HRS,17196053,10.4088/JCP.v67n1110,NULL,NULL,NULL,NULL,NULL,200,µg/kg,NULL,Psilocybin,oral,NULL,NULL,NULL,NULL,2.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,6,0,480,NULL,OCD,HRS,17196053,10.4088/JCP.v67n1110,NULL,NULL,NULL,NULL,NULL,300,µg/kg,NULL,Psilocybin,oral,NULL,NULL,NULL,NULL,2.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,18,0,240,NULL,NULL,HRS,18030450,10.1007/s00213-007-0963-0,"Barbanoj MJ","2008 Feb","Barbanoj, M.J., Riba, J., Clos, S., GimÃ©nez, S., Grasa, E. & Romero, S. (2008) Daytime Ayahuasca administration modulates REM and slow-wave sleep in healthy volunteers. Psychopharmacology, 2, 315-26.","OBJECTIVES: Ayahuasca is a traditional South American psychoactive beverage and
the central sacrament of Brazilian-based religious groups, with followers in
Europe and the United States. The tea contains the psychedelic indole
N,N-dimethyltryptamine (DMT) and beta-carboline alkaloids with monoamine
oxidase-inhibiting properties that render DMT orally active. DMT interacts with
serotonergic neurotransmission acting as a partial agonist at 5-HT(1A) and
5-HT(2A/2C) receptor sites. Given the role played by serotonin in the regulation 
of the sleep/wake cycle, we investigated the effects of daytime ayahuasca
consumption in sleep parameters.
MEASUREMENTS AND RESULTS: Subjective sleep quality, polysomnography (PSG), and
spectral analysis were assessed in a group of 22 healthy male volunteers after
the administration of a placebo, an ayahuasca dose equivalent to 1 mg DMT kg(-1) 
body weight, and 20 mg d-amphetamine, a proaminergic drug, as a positive control.
Results show that ayahuasca did not induce any subjectively perceived
deterioration of sleep quality or PSG-measured disruptions of sleep initiation or
maintenance, in contrast with d-amphetamine, which delayed sleep initiation,
disrupted sleep maintenance, induced a predominance of 'light' vs 'deep' sleep
and significantly impaired subjective sleep quality. PSG analysis also showed
that similarly to d-amphetamine, ayahuasca inhibits rapid eye movement (REM)
sleep, decreasing its duration, both in absolute values and as a percentage of
total sleep time, and shows a trend increase in its onset latency. Spectral
analysis showed that d-amphetamine and ayahuasca increased power in the high
frequency range, mainly during stage 2. Remarkably, whereas slow-wave sleep (SWS)
power in the first night cycle, an indicator of sleep pressure, was decreased by 
d-amphetamine, ayahuasca enhanced power in this frequency band.
CONCLUSIONS: Results show that daytime serotonergic psychedelic drug
administration leads to measurable changes in PSG and sleep power spectrum and
suggest an interaction between these drugs and brain circuits modulating REM and 
SWS.",NULL,1,"mg * body weight (kg)","The administered drugs were a placebo, 20 mg d-amphetamine and a freeze-dried encapsulated formulation of ayahuasca equivalent to 1 mg DMT/kg body weight. One gram of lyophilizate contained: 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline and 11.36 mg tetrahydroharmine (THH) per gram. The calculated individual dose of ayahuasca for each volunteer was administered by combinig gelatine capsules (00 size) containing 0.5, 0.25, or 0.125 g of lyophilizate. Volunteers received the same number of capsules on each experimental session.",DMT,"capsule (oral)",1.43,0.60,1.45,1.07,2.25,0.97,1.61,0.89,1.36,0.73,1.77,0.69
119,18,0,240,NULL,NULL,HRS,18030450,10.1007/s00213-007-0963-0,"Barbanoj MJ","2008 Feb","Barbanoj, M.J., Riba, J., Clos, S., GimÃ©nez, S., Grasa, E. & Romero, S. (2008) Daytime Ayahuasca administration modulates REM and slow-wave sleep in healthy volunteers. Psychopharmacology, 2, 315-26.","OBJECTIVES: Ayahuasca is a traditional South American psychoactive beverage and
the central sacrament of Brazilian-based religious groups, with followers in
Europe and the United States. The tea contains the psychedelic indole
N,N-dimethyltryptamine (DMT) and beta-carboline alkaloids with monoamine
oxidase-inhibiting properties that render DMT orally active. DMT interacts with
serotonergic neurotransmission acting as a partial agonist at 5-HT(1A) and
5-HT(2A/2C) receptor sites. Given the role played by serotonin in the regulation 
of the sleep/wake cycle, we investigated the effects of daytime ayahuasca
consumption in sleep parameters.
MEASUREMENTS AND RESULTS: Subjective sleep quality, polysomnography (PSG), and
spectral analysis were assessed in a group of 22 healthy male volunteers after
the administration of a placebo, an ayahuasca dose equivalent to 1 mg DMT kg(-1) 
body weight, and 20 mg d-amphetamine, a proaminergic drug, as a positive control.
Results show that ayahuasca did not induce any subjectively perceived
deterioration of sleep quality or PSG-measured disruptions of sleep initiation or
maintenance, in contrast with d-amphetamine, which delayed sleep initiation,
disrupted sleep maintenance, induced a predominance of 'light' vs 'deep' sleep
and significantly impaired subjective sleep quality. PSG analysis also showed
that similarly to d-amphetamine, ayahuasca inhibits rapid eye movement (REM)
sleep, decreasing its duration, both in absolute values and as a percentage of
total sleep time, and shows a trend increase in its onset latency. Spectral
analysis showed that d-amphetamine and ayahuasca increased power in the high
frequency range, mainly during stage 2. Remarkably, whereas slow-wave sleep (SWS)
power in the first night cycle, an indicator of sleep pressure, was decreased by 
d-amphetamine, ayahuasca enhanced power in this frequency band.
CONCLUSIONS: Results show that daytime serotonergic psychedelic drug
administration leads to measurable changes in PSG and sleep power spectrum and
suggest an interaction between these drugs and brain circuits modulating REM and 
SWS.",NULL,20,mg,"The administered drugs were a placebo, 20 mg d-amphetamine and a freeze-dried encapsulated formulation of ayahuasca equivalent to 1 mg DMT/kg body weight. One gram of lyophilizate contained: 8.33 mg DMT, 14.13 mg harmine, 0.96 mg harmaline and 11.36 mg tetrahydroharmine (THH) per gram. The calculated individual dose of ayahuasca for each volunteer was administered by combinig gelatine capsules (00 size) containing 0.5, 0.25, or 0.125 g of lyophilizate. Volunteers received the same number of capsules on each experimental session.",D-amphetamine,"capsule (oral)",0.72,0.33,0.34,0.35,1.10,0.79,0.12,0.17,0.56,0.44,0.88,0.39
126,3,0,NULL,NULL,NULL,HRS,19004414,10.1080/02791072.2008.10400637,"Bouso JC","2008 Sep","Bouso, J.C., Doblin, R., FarrÃ©, M., AlcÃ¡zar, M.A. & GÃ³mez-Jarabo, G. (2008) MDMA-assisted psychotherapy using low doses in a small sample of women with chronic posttraumatic stress disorder. Journal of psychoactive drugs, 3, 225-36.","The purpose of this study was to investigate the safety of different doses of
MDMA-assisted psychotherapy administered in a psychotherapeutic setting to women 
with chronic PTSD secondary to a sexual assault, and also to obtain preliminary
data regarding efficacy. Although this study was originally planned to include 29
subjects, political pressures led to the closing of the study before it could be 
finished, at which time only six subjects had been treated. Preliminary results
from those six subjects are presented here. We found that low doses of MDMA
(between 50 and 75 mg) were both psychologically and physiologically safe for all
the subjects. Future studies in larger samples and using larger doses are needed 
in order to further clarify the safety and efficacy of MDMA in the clinical
setting in subjects with PTSD.",NULL,50,mg,NULL,MDMA,n/a,1.17,NULL,1.18,NULL,0.92,NULL,0.72,NULL,0.82,NULL,1.13,NULL
127,1,0,NULL,NULL,NULL,HRS,19004414,10.1080/02791072.2008.10400637,"Bouso JC","2008 Sep","Bouso, J.C., Doblin, R., FarrÃ©, M., AlcÃ¡zar, M.A. & GÃ³mez-Jarabo, G. (2008) MDMA-assisted psychotherapy using low doses in a small sample of women with chronic posttraumatic stress disorder. Journal of psychoactive drugs, 3, 225-36.","The purpose of this study was to investigate the safety of different doses of
MDMA-assisted psychotherapy administered in a psychotherapeutic setting to women 
with chronic PTSD secondary to a sexual assault, and also to obtain preliminary
data regarding efficacy. Although this study was originally planned to include 29
subjects, political pressures led to the closing of the study before it could be 
finished, at which time only six subjects had been treated. Preliminary results
from those six subjects are presented here. We found that low doses of MDMA
(between 50 and 75 mg) were both psychologically and physiologically safe for all
the subjects. Future studies in larger samples and using larger doses are needed 
in order to further clarify the safety and efficacy of MDMA in the clinical
setting in subjects with PTSD.",NULL,75,mg,NULL,MDMA,n/a,2.06,NULL,2.92,NULL,2.75,NULL,1.88,NULL,2.54,NULL,2.50,NULL
129,34,0,"not controlled",NULL,NULL,HRS,19999674,10.1080/02791072.2009.10400531,"Albertson DN","2009 Sep","Albertson, D.N. & Grubbs, L.E. (2009) Subjective effects of Salvia divinorum: LSD- or marijuana-like? Journal of psychoactive drugs, 3, 213-7.","Salvia divinorum is a naturally occurring psychedelic considered to be one of the
most potent hallucinogens found to date. The few behavioral studies conducted
conclude that Salvia's effects may be similar to traditional psychedelics, which 
is noteworthy because Salvia acts via a unique molecular mechanism as a kappa
opioid receptor agonist. One hundred and ninety-three participants, including 34 
Salvia users, were asked to fill out a series of questionnaires related to
general drug use, personality characteristics, demographics and their experiences
with Salvia. Salvia users were found to differ from nonusers on personality
characteristics and reported consuming significantly more alcohol than nonusers. 
In addition, although Salvia users rated their hallucinogenic experiences as
similar to those seen in previously published reports, the majority likened their
experiences as most similar to marijuana instead of more traditional
psychedelics. Low scores on the ARCI LSD subscale confirmed this finding and call
into question the reigning theory of LSD-like subjective effects elicited by
Salvia.",NULL,NULL,NULL,"""Salvia users were asked to fill out two surveys that required retrospective
recall and analysis of users' most recent Salvia experience""",Salvinorin-A,inhalation,1.50,NULL,1.60,NULL,2.60,NULL,1.45,NULL,1.55,NULL,1.80,NULL
136,4,0,60+,NULL,healthy,HRS,21131142,10.1016/j.drugalcdep.2010.11.005,"Johnson MW","2011 May 1","Johnson, M.W., MacLean, K.A., Reissig, C.J., Prisinzano, T.E. & Griffiths, R.R. (2011) Human psychopharmacology and dose-effects of salvinorin A, a kappa opioid agonist hallucinogen present in the plant Salvia divinorum. Drug and alcohol dependence, 1-2, 150-5.","Salvinorin A is a potent, selective nonnitrogenous kappa opioid agonist and the
known psychoactive constituent of Salvia divinorum, a member of the mint family
that has been used for centuries by Mazatec shamans of Mexico for divination and 
spiritual healing. S. divinorum has over the last several years gained increased 
popularity as a recreational drug. This is a double-blind, placebo controlled
study of salvinorin A in 4 psychologically and physically healthy
hallucinogen-using adults. Across sessions, participants inhaled 16 ascending
doses of salvinorin A and 4 intermixed placebo doses under comfortable and
supportive conditions. Doses ranged from 0.375 Î¼g/kg to 21 Î¼g/kg. Subject-rated
drug strength was assessed every 2 min for 60 min after inhalation. Orderly time-
and dose-related effects were observed. Drug strength ratings peaked at 2 min
(first time point) and definite subjective effects were no longer present at
approximately 20 min after inhalation. Dose-related increases were observed on
questionnaire measures of mystical-type experience (Mysticism Scale) and
subjective effects associated with classic serotonergic (5-HT2(A)) hallucinogens 
(Hallucinogen Rating Scale). Salvinorin A did not significantly increase heart
rate or blood pressure. Participant narratives indicated intense experiences
characterized by disruptions in vestibular and interoceptive signals (e.g.,
change in spatial orientation, pressure on the body) and unusual and sometimes
recurring themes across sessions such as revisiting childhood memories,
cartoon-like imagery, and contact with entities. Under these prepared and
supportive conditions, salvinorin A occasioned a unique profile of subjective
effects having similarities to classic hallucinogens, including mystical-type
effects.",NULL,0.375,µg/kg,"""Sixteen doses of salvinorin A were administered in an ascending order.""; ""Four placebo doses were inserted in the ascending sequence of salvinorin A doses such that each consecutive block of 5 sessions included 1 placebo.""; ""the participant inhaled slowly for 40 s while the flask was heated, followed by a verbally cued exhale. For placebo sessions, the same protocol was followed but no salvinorin A was in the flask.""",Salvinorin-A,inhalation,0.71,NULL,0.00,NULL,0.12,NULL,0.06,NULL,0.00,NULL,1.15,NULL
