experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Dread_of_Ego_Dissolution_mean,Dread_of_Ego_Dissolution_std,Oceanic_Boundlessness_mean,Oceanic_Boundlessness_std,Visionary_Restructuralization_mean,Visionary_Restructuralization_std
132,55,1,Before,NULL,healthy,APZ(3D),20558090,10.1016/j.concog.2010.05.013,"Polito V","2010 Dec","Polito, V., Langdon, R. & Brown, J. (2010) The experience of altered states of consciousness in shamanic ritual: the role of pre-existing beliefs and affective factors. Consciousness and cognition, 4, 918-25.","Much attention has been paid recently to the role of anomalous experiences in the
aetiology of certain types of psychopathology, e.g. in the formation of
delusions. We examine, instead, the top-down influence of pre-existing beliefs
and affective factors in shaping an individual's characterisation of anomalous
sensory experiences. Specifically we investigated the effects of paranormal
beliefs and alexithymia in determining the intensity and quality of an altered
state of consciousness (ASC). Fifty five participants took part in a sweat lodge 
ceremony, a traditional shamanic ritual which was unfamiliar to them.
Participants reported significant alterations in their state of consciousness,
quantified using the 'APZ' questionnaire, a standardized measure of ASC
experience. Participants endorsing paranormal beliefs compatible with shamanic
mythology, and those showing difficulty identifying feelings scored higher on
positive dimensions of ASC experience. Our findings demonstrate that variation in
an individual's characterisation of anomalous experiences is nuanced by
pre-existing beliefs and affective factors.",NULL,NULL,NULL,"A sweat lodge is a small dome shaped structure, consisting of bent wooden poles or sticks covered with thick hides and blankets. Inside, participants sit silently in near total darkness, surrounding a small pit into which heated rocks are placed. The ceremony is led by a shaman who pours water over the rocks, which then evaporates creating heat like a sauna. The shaman sings songs, tells stories, chants and plays rhythmic, repetitive drum beats. For a detailed overview of the history, role and function of the sweat lodge ceremony see Bucko (1999) and Mcgaa (1992). For discussion of the therapeutic benefits of the ceremony see Smith (2005). The sweat lodge ceremony has previously been shown by several researchers to induce an altered state of consciousness (Bucko, 1999; Eliade, 1972; McWhorter, 1994; Price-Williams & Hughes, 1994; Smith, 2005), however most previous research has taken the form of ethnographic reports or case studies. The present investigation is unique as an empirical study of participants’ ","Sweat Lodge",n/a,5.60,6.49,4.73,5.94,3.37,5.39
225,10,0,240,NULL,healthy,APZ(3D),25820842,10.1093/ijnp/pyv039,"Alonso JF","2015 Mar 28","Alonso, J.F., Romero, S., MaÃ±anas, M.Ã€. & Riba, J. (2015) Serotonergic psychedelics temporarily modify information transfer in humans. The international journal of neuropsychopharmacology, 8, .","Erratum in
    Int J Neuropsychopharmacol. 2015;19(3). pii: pyv099. doi: 10.1093/ijnp/pyv099.",NULL,0.75,"mg/kg body weight","Ayahuasca was not administered in liquid form but as a freeze-dried formulation. Following lyophilization, ayahuasca was homogenized,analyzed for alkaloid contents, and encapsulated.","Ayahuasca (DMT)","capsule (oral)",5.60,5.21,4.00,4.27,3.40,5.60
229,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv065,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.25,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,0.80,1.26,NULL,NULL
233,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv066,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.25,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,0.60,1.12,NULL,NULL,NULL,NULL
234,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv067,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.25,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,NULL,NULL,0.15,0.28
235,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv068,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.5,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,3.60,3.08,NULL,NULL
236,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv069,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.5,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,2.60,3.08,NULL,NULL,NULL,NULL
237,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv070,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,0.5,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,NULL,NULL,2.00,1.96
238,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv071,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,1,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,4.60,2.52,NULL,NULL
239,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv072,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,1,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.

Using previously described procedures (Johnson et al., 2011),

individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials

contained the 1ml acetone vehicle only. No other substance

was added. Prior to administration, the content of the vial was

placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to

the participants as described below.",Salvinorin-A,inhalation,5.10,2.80,NULL,NULL,NULL,NULL
240,8,0,60,NULL,healthy,APZ(3D),26047623,10.1093/ijnp/pyv073,"Maqueda AE","2015 Jun 5","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Johnson, M.W., Griffiths, R.R. & Riba, J. (2015) Salvinorin-A Induces Intense Dissociative Effects, Blocking External Sensory Perception and Modulating Interoception and Sense of Body Ownership in Humans. The international journal of neuropsychopharmacology, 12, .","BACKGROUND: Salvinorin-A is a terpene with agonist properties at the kappa-opioid
receptor, the binding site of endogenous dynorphins. Salvinorin-A is found in
Salvia divinorum, a psychoactive plant traditionally used by the Mazatec people
of Oaxaca, Mexico, for medicinal and spiritual purposes. Previous studies with
the plant and salvinorin-A have reported psychedelic-like changes in perception, 
but also unusual changes in body awareness and detachment from external reality. 
Here we comprehensively studied the profiles of subjective effects of increasing 
doses of salvinorin-A in healthy volunteers, with a special emphasis on
interoception.
METHODS: A placebo and three increasing doses of vaporized salvinorin-A (0.25,
0.50, and 1mg) were administered to eight healthy volunteers with previous
experience in the use of psychedelics. Drug effects were assessed using a battery
of questionnaires that included, among others, the Hallucinogen Rating Scale, the
Altered States of Consciousness, and a new instrument that evaluates different
aspects of body awareness: the Multidimensional Assessment for Interoceptive
Awareness.
RESULTS: Salvinorin-A led to a disconnection from external reality, induced
elaborate visions and auditory phenomena, and modified interoception. The lower
doses increased somatic sensations, but the highest dose led to a sense of a
complete loss of contact with the body.
CONCLUSIONS: Salvinorin-A induced intense psychotropic effects characterized by a
dose-dependent gating of external audio-visual information and an inverted-U
dose-response effect on body awareness. These results suggest a prominent role
for the kappa opioid receptor in the regulation of sensory perception,
interoception, and the sense of body ownership in humans.",NULL,1,mg,"Three doses of pure (>99%) salvinorin-A of 0.25, 0.50, and 1 mil-
ligrams were administered via inhalation after vaporization.
Using previously described procedures (Johnson et al., 2011),
individual doses were prepared in vials that contained the salvi-
norin dose dissolved in 1ml of acetone vehicle. Placebo vials
contained the 1ml acetone vehicle only. No other substance
was added. Prior to administration, the content of the vial was
placed in a round-bottom flask and the acetone allowed to evap-
orate. The residue was heated, vaporized, and administered to
the participants as described below.",Salvinorin-A,inhalation,NULL,NULL,NULL,NULL,3.20,2.52
247,12,0,60,NULL,healthy,APZ(3D),26874330,10.1093/ijnp/pyw016,"Maqueda AE","2016 Jul","Maqueda, A.E., Valle, M., Addy, P.H., Antonijoan, R.M., Puntes, M., Coimbra, J., Ballester, M.R., Garrido, M., GonzÃ¡lez, M., Claramunt, J., Barker, S., Lomnicka, I., Waguespack, M., Johnson, M.W., Griffiths, R.R. & Riba, J. (2016) Naltrexone but Not Ketanserin Antagonizes the Subjective, Cardiovascular, and Neuroendocrine Effects of Salvinorin-A in Humans. The international journal of neuropsychopharmacology, 7, .","BACKGROUND: Salvinorin-A is a terpene found in the leaves of the plant Salvia
divinorum. When administered to humans, salvinorin-A induces an intense but
short-lasting modified state of awareness, sharing features with those induced by
the classical serotonin-2A receptor agonist psychedelics. However, unlike
substances such as psilocybin or mescaline, salvinorin-A shows agonist activity
at the kappa-opioid receptor rather than at the serotonin-2A receptor. Here, we
assessed the involvement of kappa-opioid receptor and serotonin-2A agonism in the
subjective, cardiovascular, and neuroendocrine effects of salvinorin-A in humans.
METHODS: We conducted a placebo-controlled, randomized, double-blind study with 2
groups of 12 healthy volunteers with experience with psychedelic drugs. There
were 4 experimental sessions. In group 1, participants received the following
treatment combinations: placebo+placebo, placebo+salvinorin-A,
naltrexone+placebo, and naltrexone+salvinorin-A. Naltrexone, a nonspecific opioid
receptor antagonist, was administered at a dose of 50mg orally. In group 2,
participants received the treatment combinations: placebo+placebo,
placebo+salvinorin-A, ketanserin+placebo, and ketanserin+salvinorin-A.
Ketanserin, a selective serotonin-2A antagonist, was administered at a dose of
40mg orally.
RESULTS: Inhalation of 1mg of vaporized salvinorin-A led to maximum plasma
concentrations at 1 and 2 minutes after dosing. When administered alone,
salvinorin-A severely reduced external sensory perception and induced intense
visual and auditory modifications, increased systolic blood pressure, and
cortisol and prolactin release. These effects were effectively blocked by
naltrexone, but not by ketanserin.
CONCLUSIONS: Results support kappa opioid receptor agonism as the mechanism of
action underlying the subjective and physiological effects of salvinorin-A in
humans and rule out the involvement of a serotonin-2A-mediated mechanism.",NULL,1,mg,"An i.v. catheter was placed in a vein of the left

arm for drawing blood samples. Pretreatment capsules were

administered, and 1 hour later, salvinorin-A or placebo was

administered by vaporization and inhalation.",Salvinorin-A,inhalation,5.70,5.88,6.10,1.73,5.20,2.72
